Date      Mom   
200204   7.92
200205   3.16
200206   6.17
200207   3.41
200208   1.73
200209   9.11
200210  -5.47
200211 -16.29
200212   9.65
200301   1.55
200302   1.22
200303   1.55
200304  -9.45
200305 -10.73
200306  -1.00
200307  -0.33
200308  -0.51
200309  -0.06
200310   3.67
200311   1.60
200312  -5.70
200401   2.59
200402  -1.12
200403   0.19
200404  -5.37
200405   1.65
200406   2.08
200407  -2.37
200408  -1.54
200409   5.26
200410  -1.52
200411   3.23
200412  -2.85
200501   3.12
200502   3.18
200503   0.94
200504  -0.83
200505   0.41
200506   2.08
200507   0.04
200508   2.21
200509   3.48
200510  -1.32
200511   0.37
200512   0.76
200601   2.80
200602  -1.77
200603   1.21
200604   0.65
200605  -3.73
200606   1.47
200607  -2.20
200608  -3.47
200609  -0.94
200610  -0.26
200611  -1.03
200612   0.82
200701   0.26
200702  -1.33
200703   2.52
200704  -0.15
200705  -0.30
200706   0.24
200707   2.78
200708   0.10
200709   4.61
200710   4.89
200711   0.88
200712   6.55
200801  -7.83
200802   6.11
200803   4.12
200804  -0.22
200805   3.20
200806  12.53
200807  -5.32
200808  -3.80
200809   0.34
200810   7.83
200811   7.13
200812  -5.03
200901  -1.88
200902   4.23
200903 -11.35
200904 -34.72
200905 -12.47
200906   5.31
200907  -5.47
200908  -8.87
200909  -5.02
200910   2.67
200911   0.37
200912   2.89
201001  -5.34
201002   3.62
201003   3.70
201004   3.14
201005  -0.22
201006  -2.90
201007   1.92
201008  -0.13
201009   1.35
201010   1.58
201011   2.51
201012  -3.21
201101  -0.30
201102   2.05
201103   3.59
201104   0.08
201105  -0.58
201106   1.76
201107   0.14
201108  -0.35
201109  -2.52
201110  -1.45
201111   4.00
201112   1.89
201201  -7.95
201202  -0.27
201203   1.46
201204   3.84
201205   6.61
201206  -1.14
201207   3.06
201208  -2.51
201209  -1.02
201210   0.12
201211   0.37
201212  -2.92
201301  -1.87
201302   1.47
201303   2.08
201304   0.34
201305  -1.89
201306   0.65
201307   1.69
